Id;NazwaGrupy
1;T.01 Tatry Wysokie
2;T.02 Tatry Zachodnie
3;T.03 Podtatrze Polskie
4;BZ.01 Beskid ?l?ski
5;BZ.02 Beskid ?ywiecki
6;BZ.03 Beskid Ma?y
7;BZ.04 Beskid ?redni
8;BZ.05 Gorce
9;BZ.06 Beskid Wyspowy
10;BZ.07 Orawa
11;BZ.08 Spisz i Pieniny
12;BZ.09 Beskid S?decki
13;BZ.10 Pogórze Wielickie
14;BZ.11 Pogórze Wi?nickie
15;BW.01 Beskid Niski
16;BW.02 Bieszczady
17;BW.03 Pogórze Ro?nowskie
18;BW.04 Pogórze Ci??kowickie
19;BW.05 Pogórze Strzy?owskio-Dynowskie
20;BW.06 Pogórze Przemyskie
21;S.01 Góry Izerskie
22;S.02 Pogórze Izerskie
23;S.03 Karkonosze
24;S.04 Kotlina Jeleniogórska
25;S.05 Rudawy Janowickie
26;S.06 Góry Kaczawskie
27;S.07 Pogórze Kaczawskie
28;S.08 Kotlina Kamieniogórska,
29;S.09 Góry Kamienne
30;S.10 Góry Wa?brzyskie, Pogórze Wa?brzyskie
31;S.11 Góry Sowie i Wzgórza W?odzickie
32;S.12 Góry Bardzkie
33;S.13 Góry Sto?owe, Zawory, Wzgórza ?ciniawski
34;S.14 Góry Orlickie i Góry Bystrzyckie
35;S.15 Kotlina K?odzka, Rów Górnej Nysy
36;S.16 Masyw ?nie?nika i Góry Bialskie
37;S.17 Góry Z?ote
38;S.18 Góry Opawskie
39;S.19 Wzgórza Strzegomskie
40;S.20 Masyw ?l??y, Równina ?widnicka
41;S.21 Wzgórza Niemcza?sko-Strzeli?skie
